Numero_cliente,Fecha_Update,Estatus,Motivo,Tasa_Interes,Importe,Id_product,CAT,TXN,CP,Puntuacion,canal_venta
3,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
12,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
43,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
57,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
98,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
108,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
125,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
131,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
169,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
207,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
211,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
225,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
230,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
237,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
251,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
256,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
261,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
265,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
293,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
300,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
304,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
321,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
334,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
382,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
400,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
405,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
410,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
417,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
420,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
422,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
461,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
467,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
485,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
498,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
516,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
523,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
538,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
559,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
575,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
595,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
601,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
605,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
618,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
632,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
656,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
664,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
668,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
680,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
685,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
692,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
698,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
714,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
727,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
729,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
735,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
752,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
769,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
775,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
788,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
794,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
801,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
805,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
814,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
825,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
827,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
860,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
868,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
883,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
887,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
898,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
905,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
910,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
937,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
970,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
986,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
989,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
991,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
1004,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
1011,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1031,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1041,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
1048,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
1066,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
1071,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1096,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1100,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1108,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1120,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
1140,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1156,"lunes, 11 de noviembre de 2019",,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
1183,"lunes, 11 de noviembre de 2019",,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
1187,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
1197,"lunes, 11 de noviembre de 2019",,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
1207,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1229,"lunes, 11 de noviembre de 2019",,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
1245,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1279,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1292,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1317,"lunes, 11 de noviembre de 2019",,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
1328,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1348,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1356,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1359,"lunes, 11 de noviembre de 2019",,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
1364,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1393,"lunes, 11 de noviembre de 2019",,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
1413,"lunes, 11 de noviembre de 2019",,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
1418,"lunes, 11 de noviembre de 2019",,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
1453,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
1481,"lunes, 11 de noviembre de 2019",,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
