Numero_cliente,Fecha_Update,Estatus,Motivo,Tasa_Interes,Importe,Id_product,CAT,TXN,CP,Puntuacion,canal_venta,Day
3,2019-11-11,NO_RESPONSE,,0,0,8,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
12,2019-11-11,NO_RESPONSE,,0,0,2,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
43,2019-11-11,NO_RESPONSE,,0,0,4,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
57,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
98,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
108,2019-11-11,NO_RESPONSE,,0,0,4,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
125,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
131,2019-11-11,NO_RESPONSE,,0,0,2,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
169,2019-11-11,NO_RESPONSE,,0,0,10,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
207,2019-11-11,NO_RESPONSE,,0,0,5,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
211,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
225,2019-11-11,NO_RESPONSE,,0,0,3,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
230,2019-11-11,NO_RESPONSE,,0,0,5,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
237,2019-11-11,NO_RESPONSE,,0,0,4,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
251,2019-11-11,NO_RESPONSE,,0,0,4,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
256,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
261,2019-11-11,NO_RESPONSE,,0,0,9,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
265,2019-11-11,NO_RESPONSE,,0,0,2,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
293,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
300,2019-11-11,NO_RESPONSE,,0,0,9,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
304,2019-11-11,NO_RESPONSE,,0,0,5,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
321,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
334,2019-11-11,NO_RESPONSE,,0,0,3,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
382,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
400,2019-11-11,NO_RESPONSE,,0,0,3,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
405,2019-11-11,NO_RESPONSE,,0,0,9,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
410,2019-11-11,NO_RESPONSE,,0,0,10,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
417,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
420,2019-11-11,NO_RESPONSE,,0,0,2,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
422,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
461,2019-11-11,NO_RESPONSE,,0,0,8,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
467,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
485,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
498,2019-11-11,NO_RESPONSE,,0,0,5,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
516,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
523,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
538,2019-11-11,NO_RESPONSE,,0,0,8,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
559,2019-11-11,NO_RESPONSE,,0,0,9,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
575,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
595,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
601,2019-11-11,NO_RESPONSE,,0,0,9,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
605,2019-11-11,NO_RESPONSE,,0,0,2,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
618,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
632,2019-11-11,NO_RESPONSE,,0,0,8,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
656,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
664,2019-11-11,NO_RESPONSE,,0,0,10,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
668,2019-11-11,NO_RESPONSE,,0,0,4,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
680,2019-11-11,NO_RESPONSE,,0,0,4,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
685,2019-11-11,NO_RESPONSE,,0,0,8,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
692,2019-11-11,NO_RESPONSE,,0,0,9,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
698,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
714,2019-11-11,NO_RESPONSE,,0,0,5,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
727,2019-11-11,NO_RESPONSE,,0,0,10,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
729,2019-11-11,NO_RESPONSE,,0,0,10,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
735,2019-11-11,NO_RESPONSE,,0,0,1,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
752,2019-11-11,NO_RESPONSE,,0,0,8,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
769,2019-11-11,NO_RESPONSE,,0,0,6,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
775,2019-11-11,NO_RESPONSE,,0,0,7,0,0.0,0,Sin Puntuación,Servicio al cliente,Monday
